Age,Type,CO2
343,phytoplankton,498.4
355,phytoplankton,271.5
355,phytoplankton,501.7
372,phytoplankton,937.3
372,phytoplankton,1116.5
377,phytoplankton,949
377,phytoplankton,1160.6
377,phytoplankton,905.6
378,phytoplankton,1306.6
378,phytoplankton,977.6
378,phytoplankton,878.2
379,phytoplankton,1032.5
379,phytoplankton,928.3
379,phytoplankton,936
379,phytoplankton,956.3
379,phytoplankton,948
379,phytoplankton,995.5
380,phytoplankton,835.8
383,phytoplankton,1237.5
383,phytoplankton,1267.5
383,phytoplankton,1083.6
383,phytoplankton,1020.3
383,phytoplankton,1367.1
388,phytoplankton,721.6
432,phytoplankton,509.4
438,phytoplankton,666.3
450,phytoplankton,678.9
450,phytoplankton,655.7
450,phytoplankton,655.7
450,phytoplankton,717.1
450,phytoplankton,568.2
450,phytoplankton,717.1
450,phytoplankton,691.2
450,phytoplankton,562.4
450,phytoplankton,600
450,phytoplankton,562.4
450,phytoplankton,537.2
452,phytoplankton,373
455,phytoplankton,373
455,phytoplankton,393
455,phytoplankton,373
455,phytoplankton,329.3
455,phytoplankton,358.3
455,phytoplankton,317.9
455,phytoplankton,361.9
455,phytoplankton,365.5
