Age,Type,CO2
3.21795,d11B,398.28
3.21857,d11B,222.97
3.22006,d11B,382.43
3.22012,phytoplankton,149.22
3.22067,d11B,345.22
3.22308,d11B,307.79
3.22398,d11B,369.38
3.23,phytoplankton,238.52
3.23061,d11B,416.51
3.23302,d11B,306.52
3.23513,d11B,338.18
3.23513,d11B,320.45
3.23604,d11B,366.19
3.23916,d11B,270.84
3.24333,phytoplankton,153.14
3.2449,d11B,441.18
3.24542,phytoplankton,273.61
3.24782,d11B,384.48
3.25,phytoplankton,321.16
3.25,d11B,301.63
3.25214,d11B,349.65
3.25413,d11B,352.26
3.25703,phytoplankton,251.87
3.25914,d11B,223.33
3.25975,phytoplankton,151.66
3.26077,d11B,366.84
3.2671,phytoplankton,147.64
3.26807,d11B,351.09
3.27206,d11B,306.48
3.27526,phytoplankton,145.67
3.2787,d11B,389.69
3.28667,d11B,308.4
3.28675,phytoplankton,154.48
3.29024,d11B,354
3.29311,d11B,301
3.29643,d11B,387.36
3.29945,d11B,379.75
3.30003,phytoplankton,216.71
3.30261,d11B,458.94
3.30412,d11B,415.34
3.31076,d11B,400.57
3.3146,d11B,421.78
3.31752,d11B,323.99
3.3203,d11B,368.66
3.32159,d11B,250.07
3.32322,d11B,293.81
3.32614,d11B,413.92
3.3292,d11B,327.85
3.33213,d11B,315.76
3.38,phytoplankton,304.6
3.40324,d11B,244.63
3.40673,d11B,244.34
3.45479,phytoplankton,367.1
3.46,phytoplankton,317.86
3.46574,phytoplankton,279.43
3.47147,d11B,264.69
3.50634,phytoplankton,415.76
3.54,phytoplankton,315.64
3.54083,phytoplankton,248.72
3.54253,d11B,282.37
3.59077,d11B,264.3
3.62,phytoplankton,314.88
3.64955,phytoplankton,283.91
3.69,phytoplankton,333.95
3.71534,phytoplankton,261.95
3.71606,d11B,282.92
3.74655,phytoplankton,362.34
3.79218,d11B,260
3.81,phytoplankton,328.2
3.82888,phytoplankton,226.7
3.85,phytoplankton,293.19
3.87013,d11B,340.01
3.9,phytoplankton,334.54
3.93,phytoplankton,220.6
3.94777,phytoplankton,403.86
3.96107,d11B,278.71
3.9701,phytoplankton,247.57
4,phytoplankton,331
4.00318,d11B,415.83
4.00318,d11B,386.25
4.00887,phytoplankton,374.35
4.03,phytoplankton,244.46
4.03618,d11B,286.13
4.08098,phytoplankton,287.5
4.10539,phytoplankton,306.54
4.11,phytoplankton,301.8
4.11,phytoplankton,338.07
4.11713,d11B,330.25
4.21,phytoplankton,346.26
4.22571,d11B,397.22
4.22571,d11B,364.48
4.25543,phytoplankton,270.39
4.297,phytoplankton,105.59
4.3,phytoplankton,341.55
4.32106,phytoplankton,378.04
4.34,phytoplankton,327.24
4.39,phytoplankton,323.85
